parameter,mean,sd,q05,q50,q95,prior_mean,prior_sd,prior_q05,prior_q50,prior_q95,n_prior_draws,n_accepted_draws
eta,0.38445266165032577,0.16100859452919994,0.21297810595623715,0.3372460397476995,0.6139543767506991,0.21661897650025322,0.24594252038315448,0.01229779264485235,0.1127526830863167,0.815418632387937,998,10
T_min,0.8386188140256372,0.28912562905200373,0.42792219079352267,0.8320098242460603,1.1915250766956866,0.901376951812896,0.34643751908495163,0.35064600087453285,0.893493001240212,1.4498791513316283,998,10
T_max,2.4951786747526734,0.7317191296140177,1.5424118591800466,2.4521283289564533,3.640237983851651,2.5971967063195747,0.814127138543877,1.3129586355717178,2.586802957117391,3.8879121121787126,998,10
a,-0.2966684694682247,1.0730219035207027,-1.7645630990591519,0.07368793551832904,0.9143710227367653,-0.0311812134834004,1.145002446852484,-1.7967956228362922,-0.0934832831376246,1.76880753904759,998,10
b,4.025386368814905,1.4575823230408447,1.9689428135436815,4.275439556306924,5.637896637995305,3.0608063688054696,1.654796965712142,0.5274852002578796,3.032369509577011,5.680123322798164,998,10
sigma_q,0.3868766228363911,0.13403281491135968,0.2084508189188745,0.37379915663179863,0.5823663018767671,0.3729690697383545,0.12821891427280738,0.17312280978679126,0.37115713233486075,0.5764143574613504,998,10
gamma0,-1.3014840989079726,1.100761054028021,-2.6728112791163015,-1.255147328075024,0.1984832113877386,-1.0521223430796327,1.1364484754991266,-2.7946152316503943,-1.0939090590198361,0.7881817082233245,998,10
gamma1,1.6410166370333528,0.6403235098341401,0.7878947885283969,1.6304360930981305,2.5722121023414495,0.9763240408140671,0.8982711609484627,0.006283098367076516,0.7015934994269813,2.6780100969746172,998,10
abc_distance,0.39326627664401775,0.07805314006107882,0.2639353051280455,0.41268495679958994,0.45957889367928817,2.1674469103850686,1.0552238299959196,0.7742720034209459,2.0942732801974273,3.705059945501073,998,10
